target_end_date,output_type_id,value,reference_date,horizon,target,output_type,location
2026-02-07,0.99,2520.356918990477,2026-02-07,0,wk inc flu hosp,quantile,06
2026-02-07,0.01,45.928007043209874,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.025,54.49294929384993,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.05,63.15227602726385,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.1,74.80836293064067,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.15,83.78521710454345,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.2,91.78932329134234,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.25,99.20890059659077,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.3,106.39754417740744,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.35,113.54869982794132,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.4,120.75070213663179,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.45,128.18333666422146,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.5,135.93313539547714,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.55,144.1281045205581,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.6,152.9487120495548,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.65,162.61139217736869,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.7,173.5212522272922,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.75,186.00659797876096,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.8,201.01830643882883,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.85,220.3355027479203,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.9,247.08097673464138,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.95,292.5888998199425,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.975,338.9633753520615,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.99,402.03117443734686,2026-02-07,0,wk inc flu hosp,quantile,08
2026-02-07,0.01,28.490828528894166,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.025,34.366750644644384,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.05,40.399091335835955,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.1,48.64471664815796,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.15,55.08143664906245,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.2,60.87740438769353,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.25,66.29400485227256,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.3,71.57951584067298,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.35,76.87181655872331,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.4,82.23438959256409,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.45,87.80116663400686,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.5,93.63876611733436,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.55,99.84673250865454,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.6,106.5668023553754,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.65,113.97143728048873,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.7,122.38292769690052,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.75,132.07183935193612,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.8,143.8044089178463,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.85,159.02624736047073,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.9,180.31334910523628,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.95,217.0379025849081,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.975,255.03518353838956,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.99,307.51244250726154,2026-02-07,0,wk inc flu hosp,quantile,09
2026-02-07,0.01,18.401047086937627,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.025,21.901926128600095,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.05,25.45180950036489,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.1,30.244322364124173,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.15,33.9448384827043,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.2,37.250600724953024,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.25,40.319741208761215,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.3,43.29742412280077,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.35,46.26328574746214,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.4,49.25373992145035,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.45,52.34342823661744,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.5,55.5684980544051,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.55,58.982533974735986,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.6,62.66123272618705,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.65,66.69563622120036,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.7,71.25610373367901,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.75,76.48165872622604,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.8,82.77317137193137,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.85,90.88189776308467,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.9,102.13035089259077,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.95,121.32066071617423,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.975,140.93358707690572,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.99,167.68554724304659,2026-02-07,0,wk inc flu hosp,quantile,10
2026-02-07,0.01,5.679445393233868,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.025,6.934021899501754,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.05,8.236500095218272,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.1,10.03698137051082,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.15,11.456432102844735,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.2,12.743811273852165,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.25,13.954110066176522,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.3,15.141285350172911,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.35,16.3356620366561,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.4,17.551315609090974,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.45,18.818673829673852,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.5,20.15325870067625,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.55,21.578405449226732,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.6,23.12755522057016,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.65,24.841807592937005,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.7,26.797863085876347,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.75,29.061708968887753,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.8,31.817363641478472,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.85,35.414059204524584,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.9,40.48083284819807,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.95,49.3109532876777,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.975,58.54926188526867,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.99,71.45274280949185,2026-02-07,0,wk inc flu hosp,quantile,11
2026-02-07,0.01,673.141789087725,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.025,740.5043590814871,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.05,803.9919009676549,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.1,883.6523370833646,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.15,941.3107943392229,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.2,990.4539943339767,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.25,1034.3405853863696,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.3,1075.4964345648839,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.35,1115.234307291985,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.4,1154.1509195519566,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.45,1193.2517050083538,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.5,1232.967320492989,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.55,1273.8895930826857,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.6,1316.80209964472,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.65,1362.5733839184393,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.7,1412.8296375369916,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.75,1468.6580911860408,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.8,1533.6328340507096,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.85,1614.16402147369,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.9,1720.6760522472832,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.95,1890.8162660453233,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.975,2052.5210521796257,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.99,2257.4690802141404,2026-02-07,0,wk inc flu hosp,quantile,12
2026-02-07,0.01,105.87082444451381,2026-02-07,0,wk inc flu hosp,quantile,13
2026-02-07,0.025,123.84422853435684,2026-02-07,0,wk inc flu hosp,quantile,13
2026-02-07,0.05,141.77802264331996,2026-02-07,0,wk inc flu hosp,quantile,13
2026-02-07,0.1,165.60179789213936,2026-02-07,0,wk inc flu hosp,quantile,13
